33°05′27″  131°13′57″
33°04′56″  131°14′27″
32°53′04″  131°06′14″
32°53′01″  131°08′40″
32°53′01″  131°05′49″
32°53′33″  131°03′29″
32°52′25″  131°03′29″
33°18′11″  130°43′22″
33°11′15″  130°53′21″
33°05′49″  130°54′30″
33°06′20″  130°49′03″
32°59′05″  130°31′39″
32°48′50″  130°38′20″
33°12′50″  129°54′08″
33°14′13″  129°48′46″
33°05′26″  129°55′17″
32°59′15″  130°04′35″
32°58′32″  130°05′34″
32°57′29″  130°04′36″
32°45′36″  130°17′32″
32°45′41″  130°17′56″
32°54′49″  129°44′41″
32°40′13″  129°51′23″
34°34′19″  129°22′54″
34°15′51″  129°14′59″
34°12′16″  129°15′54″
34°10′39″  129°13′34″
32°56′00″  129°03′11″
32°41′53″  128°40′52″
